split,low_image,high_image,low_size,high_size,status
lol_v1_eval15,1.png,1.png,600x400,600x400,valid
lol_v1_eval15,111.png,111.png,600x400,600x400,valid
lol_v1_eval15,146.png,146.png,600x400,600x400,valid
lol_v1_eval15,179.png,179.png,600x400,600x400,valid
lol_v1_eval15,22.png,22.png,600x400,600x400,valid
lol_v1_eval15,23.png,23.png,600x400,600x400,valid
lol_v1_eval15,493.png,493.png,600x400,600x400,valid
lol_v1_eval15,547.png,547.png,600x400,600x400,valid
lol_v1_eval15,55.png,55.png,600x400,600x400,valid
lol_v1_eval15,665.png,665.png,600x400,600x400,valid
lol_v1_eval15,669.png,669.png,600x400,600x400,valid
lol_v1_eval15,748.png,748.png,600x400,600x400,valid
lol_v1_eval15,778.png,778.png,600x400,600x400,valid
lol_v1_eval15,780.png,780.png,600x400,600x400,valid
lol_v1_eval15,79.png,79.png,600x400,600x400,valid
lolv2_synthetic,r00816405t.png,r00816405t.png,384x384,384x384,valid
lolv2_synthetic,r00869422t.png,r00869422t.png,384x384,384x384,valid
lolv2_synthetic,r00879054t.png,r00879054t.png,384x384,384x384,valid
lolv2_synthetic,r01058910t.png,r01058910t.png,384x384,384x384,valid
lolv2_synthetic,r01170470t.png,r01170470t.png,384x384,384x384,valid
lolv2_synthetic,r01474187t.png,r01474187t.png,384x384,384x384,valid
lolv2_synthetic,r0150031ft.png,r0150031ft.png,384x384,384x384,valid
lolv2_synthetic,r01559391t.png,r01559391t.png,384x384,384x384,valid
lolv2_synthetic,r02189767t.png,r02189767t.png,384x384,384x384,valid
lolv2_synthetic,r02354285t.png,r02354285t.png,384x384,384x384,valid
lolv2_synthetic,r02508493t.png,r02508493t.png,384x384,384x384,valid
lolv2_synthetic,r0287344at.png,r0287344at.png,384x384,384x384,valid
lolv2_synthetic,r02897203t.png,r02897203t.png,384x384,384x384,valid
lolv2_synthetic,r03193652t.png,r03193652t.png,384x384,384x384,valid
lolv2_synthetic,r0341853dt.png,r0341853dt.png,384x384,384x384,valid
lolv2_synthetic,r0372042dt.png,r0372042dt.png,384x384,384x384,valid
lolv2_synthetic,r04317453t.png,r04317453t.png,384x384,384x384,valid
lolv2_synthetic,r0465565ct.png,r0465565ct.png,384x384,384x384,valid
lolv2_synthetic,r05243256t.png,r05243256t.png,384x384,384x384,valid
lolv2_synthetic,r05772356t.png,r05772356t.png,384x384,384x384,valid
lolv2_synthetic,r05839451t.png,r05839451t.png,384x384,384x384,valid
lolv2_synthetic,r0589558at.png,r0589558at.png,384x384,384x384,valid
lolv2_synthetic,r0603031et.png,r0603031et.png,384x384,384x384,valid
lolv2_synthetic,r068812d7t.png,r068812d7t.png,384x384,384x384,valid
lolv2_synthetic,r0703243bt.png,r0703243bt.png,384x384,384x384,valid
lolv2_synthetic,r0708431at.png,r0708431at.png,384x384,384x384,valid
lolv2_synthetic,r072421a1t.png,r072421a1t.png,384x384,384x384,valid
lolv2_synthetic,r072649fdt.png,r072649fdt.png,384x384,384x384,valid
lolv2_synthetic,r07598392t.png,r07598392t.png,384x384,384x384,valid
lolv2_synthetic,r0773471dt.png,r0773471dt.png,384x384,384x384,valid
lolv2_synthetic,r077507cat.png,r077507cat.png,384x384,384x384,valid
lolv2_synthetic,r08079988t.png,r08079988t.png,384x384,384x384,valid
lolv2_synthetic,r0809811bt.png,r0809811bt.png,384x384,384x384,valid
lolv2_synthetic,r082626aft.png,r082626aft.png,384x384,384x384,valid
lolv2_synthetic,r084889d5t.png,r084889d5t.png,384x384,384x384,valid
lolv2_synthetic,r08788547t.png,r08788547t.png,384x384,384x384,valid
lolv2_synthetic,r08873591t.png,r08873591t.png,384x384,384x384,valid
lolv2_synthetic,r08996953t.png,r08996953t.png,384x384,384x384,valid
lolv2_synthetic,r0905697bt.png,r0905697bt.png,384x384,384x384,valid
lolv2_synthetic,r09245347t.png,r09245347t.png,384x384,384x384,valid
lolv2_synthetic,r09445479t.png,r09445479t.png,384x384,384x384,valid
lolv2_synthetic,r09670876t.png,r09670876t.png,384x384,384x384,valid
lolv2_synthetic,r096982ddt.png,r096982ddt.png,384x384,384x384,valid
lolv2_synthetic,r097088c1t.png,r097088c1t.png,384x384,384x384,valid
lolv2_synthetic,r097555c4t.png,r097555c4t.png,384x384,384x384,valid
lolv2_synthetic,r104153eat.png,r104153eat.png,384x384,384x384,valid
lolv2_synthetic,r107730b5t.png,r107730b5t.png,384x384,384x384,valid
lolv2_synthetic,r108301e3t.png,r108301e3t.png,384x384,384x384,valid
lolv2_synthetic,r10893508t.png,r10893508t.png,384x384,384x384,valid
lolv2_synthetic,r10940798t.png,r10940798t.png,384x384,384x384,valid
lolv2_synthetic,r113402d4t.png,r113402d4t.png,384x384,384x384,valid
lolv2_synthetic,r1148801et.png,r1148801et.png,384x384,384x384,valid
lolv2_synthetic,r116825e2t.png,r116825e2t.png,384x384,384x384,valid
